date,code,peTTM
2021-09-30,sz.300071,-2.400099
2021-09-30,sz.000793,-2.367695
2021-09-30,sz.002321,-2.206051
2021-09-30,sz.000046,-2.187912
2021-09-30,sh.600466,-2.1607
2021-09-30,sz.002712,-2.088685
2021-09-30,sz.300282,-2.084249
2021-09-30,sh.600136,-2.081177
2021-09-30,sz.000687,-1.985977
2021-09-30,sh.600146,-1.936922
2021-09-30,sz.002175,-1.890465
2021-09-30,sh.600078,-1.787797
2021-09-30,sh.600715,-1.773514
2021-09-30,sz.002770,-1.701322
2021-09-30,sz.002618,-1.638778
2021-09-30,sz.300064,-1.55935
2021-09-30,sz.002503,-1.526218
2021-09-30,sz.002684,-1.515997
2021-09-30,sz.300178,-1.490498
2021-09-30,sz.002309,-1.456003
2021-09-30,sz.000826,-1.330029
2021-09-30,sz.002766,-1.327346
2021-09-30,sh.600340,-1.321402
2021-09-30,sz.000711,-1.319256
2021-09-30,sz.000606,-1.278202
2021-09-30,sz.300336,-1.266698
2021-09-30,sh.600589,-1.248573
2021-09-30,sz.000980,-1.23935
2021-09-30,sz.000732,-1.218061
2021-09-30,sh.600781,-1.201349
2021-09-30,sz.002740,-1.198303
2021-09-30,sz.300010,-1.18671
2021-09-30,sz.002721,-1.151717
2021-09-30,sz.002640,-1.141522
2021-09-30,sz.300209,-1.128778
2021-09-30,sh.600751,-0.995791
2021-09-30,sz.002377,-0.980304
2021-09-30,sh.603157,-0.960048
2021-09-30,sh.600122,-0.903878
2021-09-30,sh.600090,-0.899668
2021-09-30,sh.600322,-0.801899
2021-09-30,sh.603996,-0.801736
2021-09-30,sh.600518,-0.766849
2021-09-30,sh.600221,-0.741153
2021-09-30,sh.600225,-0.691971
2021-09-30,sz.000523,-0.590236
2021-09-30,sh.600260,-0.423018
2021-09-30,sz.300038,-0.273937
2021-09-30,sh.600093,-0.212965
2021-09-30,sh.600291,0.288065
2021-09-30,sz.002210,0.70952
2021-09-30,sz.000820,1.290856
2021-09-30,sz.002501,1.443012
2021-09-30,sz.000961,2.512986
2021-09-30,sz.300677,2.938622
2021-09-30,sz.002146,2.956616
2021-09-30,sz.000587,3.055844
2021-09-30,sz.002131,3.113729
2021-09-30,sz.000671,3.132769
2021-09-30,sz.300981,3.294713
2021-09-30,sh.600565,3.572797
2021-09-30,sh.600015,3.739717
2021-09-30,sz.000656,3.869815
2021-09-30,sh.600325,3.891992
2021-09-30,sh.600606,3.947647
2021-09-30,sz.002382,3.953121
2021-09-30,sh.601668,3.967723
2021-09-30,sh.601328,3.988426
2021-09-30,sh.601169,4.087412
2021-09-30,sh.601997,4.097771
2021-09-30,sh.688298,4.129859
2021-09-30,sh.601186,4.226205
2021-09-30,sh.603301,4.246273
2021-09-30,sh.601998,4.252771
2021-09-30,sh.601818,4.371869
2021-09-30,sh.601988,4.384921
2021-09-30,sh.600000,4.461718
2021-09-30,sh.601288,4.486003
2021-09-30,sz.000517,4.486142
2021-09-30,sz.002314,4.498672
2021-09-30,sh.600755,4.516125
2021-09-30,sh.688068,4.630702
2021-09-30,sz.000589,4.657329
2021-09-30,sh.601229,4.713603
2021-09-30,sh.600368,4.847432
2021-09-30,sh.601077,4.89715
2021-09-30,sh.600248,4.928909
2021-09-30,sh.600177,4.944743
2021-09-30,sh.600376,4.971906
2021-09-30,sh.600153,5.000257
2021-09-30,sh.600665,5.006454
2021-09-30,sz.002244,5.015023
2021-09-30,sh.600919,5.021387
2021-09-30,sh.601398,5.023921
2021-09-30,sz.000069,5.063642
2021-09-30,sz.000932,5.119801
2021-09-30,sh.601166,5.127147
2021-09-30,sh.601155,5.151961
2021-09-30,sh.601939,5.205583
2021-09-30,sz.002110,5.207705
2021-09-30,sh.600173,5.227679
2021-09-30,sh.601390,5.230878
2021-09-30,sz.000536,5.236311
2021-09-30,sh.600016,5.281663
2021-09-30,sh.600512,5.330788
2021-09-30,sz.002716,5.406848
2021-09-30,sh.600408,5.423814
2021-09-30,sh.600064,5.467616
2021-09-30,sh.600383,5.471567
2021-09-30,sz.002208,5.533566
2021-09-30,sh.600603,5.550861
2021-09-30,sz.000498,5.572837
2021-09-30,sh.601577,5.599479
2021-09-30,sz.000717,5.646091
2021-09-30,sz.000698,5.651354
2021-09-30,sh.600782,5.667829
2021-09-30,sh.600028,5.679312
2021-09-30,sz.000011,5.714506
2021-09-30,sh.600048,5.766625
2021-09-30,sh.600449,5.800373
2021-09-30,sh.601003,5.823113
2021-09-30,sz.002133,5.825944
2021-09-30,sz.000006,5.854789
