date,code,pbMRQ
2021-09-30,sh.600857,4.113711
2021-09-30,sh.600858,1.139394
2021-09-30,sh.600859,2.134566
2021-09-30,sh.600860,4.489497
2021-09-30,sh.600861,3.184291
2021-09-30,sh.600862,9.785473
2021-09-30,sh.600863,2.208889
2021-09-30,sh.600864,0.930402
2021-09-30,sh.600865,1.365806
2021-09-30,sh.600866,1.736356
2021-09-30,sh.600867,3.749588
2021-09-30,sh.600868,2.582545
2021-09-30,sh.600869,3.775874
2021-09-30,sh.600870,285.024654
2021-09-30,sh.600871,6.475609
2021-09-30,sh.600872,6.313261
2021-09-30,sh.600873,2.267350
2021-09-30,sh.600874,1.413523
2021-09-30,sh.600875,1.800213
2021-09-30,sh.600876,6.886239
2021-09-30,sh.600877,31.083854
2021-09-30,sh.600879,1.541701
2021-09-30,sh.600880,1.327540
2021-09-30,sh.600881,0.658983
2021-09-30,sh.600882,6.172300
2021-09-30,sh.600883,2.689380
2021-09-30,sh.600884,4.416431
2021-09-30,sh.600885,8.036244
2021-09-30,sh.600886,2.002060
2021-09-30,sh.600887,7.118692
2021-09-30,sh.600888,1.777754
2021-09-30,sh.600889,1.492710
2021-09-30,sh.600890,8.066861
2021-09-30,sh.600892,7.171800
2021-09-30,sh.600893,3.924648
2021-09-30,sh.600894,0.717822
2021-09-30,sh.600895,2.197005
2021-09-30,sh.600896,1.984172
2021-09-30,sh.600897,1.233089
2021-09-30,sh.600898,9.026483
2021-09-30,sh.600900,3.033838
2021-09-30,sh.600901,1.213376
2021-09-30,sh.600903,4.639093
2021-09-30,sh.600905,3.118397
2021-09-30,sh.600906,3.735946
2021-09-30,sh.600908,0.844548
2021-09-30,sh.600909,1.379853
2021-09-30,sh.600916,3.922139
2021-09-30,sh.600917,3.322768
2021-09-30,sh.600918,1.913491
2021-09-30,sh.600919,0.611574
2021-09-30,sh.600926,1.324555
2021-09-30,sh.600928,0.747605
2021-09-30,sh.600929,2.561396
2021-09-30,sh.600933,2.338688
2021-09-30,sh.600936,1.297351
2021-09-30,sh.600939,0.913628
2021-09-30,sh.600955,7.570983
2021-09-30,sh.600956,6.341782
2021-09-30,sh.600958,1.887922
2021-09-30,sh.600959,0.691877
2021-09-30,sh.600960,0.669178
2021-09-30,sh.600961,-3.928363
2021-09-30,sh.600962,3.293813
2021-09-30,sh.600963,1.643915
2021-09-30,sh.600965,2.545268
2021-09-30,sh.600966,2.143019
